CustomerID,Daypart,Visit#Daypart
819759,5 PM - before 9 PM,2
819761,5 PM - before 9 PM,2
819850,5 PM - before 9 PM,2
819914,5 PM - before 9 PM,2
819966,5 PM - before 9 PM,2
819998,5 PM - before 9 PM,2
820040,5 PM - before 9 PM,2
820047,5 PM - before 9 PM,2
820094,5 PM - before 9 PM,2
820227,5 PM - before 9 PM,2
821808,5 PM - before 9 PM,2
822603,5 PM - before 9 PM,2
823665,5 PM - before 9 PM,2
823827,5 PM - before 9 PM,2
824557,5 PM - before 9 PM,2
825188,5 PM - before 9 PM,2
826302,5 PM - before 9 PM,2
826337,5 PM - before 9 PM,2
826370,5 PM - before 9 PM,2
826414,5 PM - before 9 PM,2
826670,5 PM - before 9 PM,2
826703,5 PM - before 9 PM,2
826705,5 PM - before 9 PM,2
827586,5 PM - before 9 PM,2
827641,5 PM - before 9 PM,2
827777,5 PM - before 9 PM,2
828243,5 PM - before 9 PM,2
828258,5 PM - before 9 PM,2
828262,5 PM - before 9 PM,2
828264,5 PM - before 9 PM,2
828268,5 PM - before 9 PM,2
828495,5 PM - before 9 PM,2
828531,5 PM - before 9 PM,2
828670,5 PM - before 9 PM,2
830290,5 PM - before 9 PM,2
830522,5 PM - before 9 PM,2
830601,5 PM - before 9 PM,2
830681,5 PM - before 9 PM,2
97089,5 PM - before 9 PM,2
97091,5 PM - before 9 PM,2
97099,5 PM - before 9 PM,2
97100,5 PM - before 9 PM,2
97474,5 PM - before 9 PM,2
97484,5 PM - before 9 PM,2
97485,5 PM - before 9 PM,2
97487,5 PM - before 9 PM,2
97488,5 PM - before 9 PM,2
97493,5 PM - before 9 PM,2
97511,5 PM - before 9 PM,2
97697,5 PM - before 9 PM,2
98051,5 PM - before 9 PM,2
102139,5 PM - before 9 PM,2
102927,5 PM - before 9 PM,2
102931,5 PM - before 9 PM,2
102946,5 PM - before 9 PM,2
102989,5 PM - before 9 PM,2
102990,5 PM - before 9 PM,2
102995,5 PM - before 9 PM,2
102997,5 PM - before 9 PM,2
103023,5 PM - before 9 PM,2
103026,5 PM - before 9 PM,2
103030,5 PM - before 9 PM,2
104631,5 PM - before 9 PM,2
104727,5 PM - before 9 PM,2
104728,5 PM - before 9 PM,2
104729,5 PM - before 9 PM,2
106231,5 PM - before 9 PM,2
106570,5 PM - before 9 PM,2
106571,5 PM - before 9 PM,2
106572,5 PM - before 9 PM,2
106576,5 PM - before 9 PM,2
106579,5 PM - before 9 PM,2
106580,5 PM - before 9 PM,2
106582,5 PM - before 9 PM,2
106585,5 PM - before 9 PM,2
106616,5 PM - before 9 PM,2
106726,5 PM - before 9 PM,2
108597,5 PM - before 9 PM,2
108600,5 PM - before 9 PM,2
108670,5 PM - before 9 PM,2
108980,5 PM - before 9 PM,2
109132,5 PM - before 9 PM,2
109165,5 PM - before 9 PM,2
109224,5 PM - before 9 PM,2
109225,5 PM - before 9 PM,2
110386,5 PM - before 9 PM,2
118023,5 PM - before 9 PM,2
118026,5 PM - before 9 PM,2
118200,5 PM - before 9 PM,2
118397,5 PM - before 9 PM,2
118401,5 PM - before 9 PM,2
118402,5 PM - before 9 PM,2
119547,5 PM - before 9 PM,2
119548,5 PM - before 9 PM,2
119803,5 PM - before 9 PM,2
121216,5 PM - before 9 PM,2
121218,5 PM - before 9 PM,2
121221,5 PM - before 9 PM,2
121485,5 PM - before 9 PM,2
121536,5 PM - before 9 PM,2
121542,5 PM - before 9 PM,2
121567,5 PM - before 9 PM,2
121568,5 PM - before 9 PM,2
121580,5 PM - before 9 PM,2
121611,5 PM - before 9 PM,2
121613,5 PM - before 9 PM,2
121624,5 PM - before 9 PM,2
121639,5 PM - before 9 PM,2
121643,5 PM - before 9 PM,2
121679,5 PM - before 9 PM,2
121689,5 PM - before 9 PM,2
122711,5 PM - before 9 PM,2
122871,5 PM - before 9 PM,2
122921,5 PM - before 9 PM,2
122946,5 PM - before 9 PM,2
122971,5 PM - before 9 PM,2
123380,5 PM - before 9 PM,2
123902,5 PM - before 9 PM,2
123904,5 PM - before 9 PM,2
123908,5 PM - before 9 PM,2
126826,5 PM - before 9 PM,2
133134,5 PM - before 9 PM,2
133930,5 PM - before 9 PM,2
134379,5 PM - before 9 PM,2
134483,5 PM - before 9 PM,2
134485,5 PM - before 9 PM,2
134486,5 PM - before 9 PM,2
134617,5 PM - before 9 PM,2
134834,5 PM - before 9 PM,2
134931,5 PM - before 9 PM,2
134933,5 PM - before 9 PM,2
134935,5 PM - before 9 PM,2
134937,5 PM - before 9 PM,2
134938,5 PM - before 9 PM,2
134940,5 PM - before 9 PM,2
134941,5 PM - before 9 PM,2
