CustomerID,DayID,Visit
344625,DAY04,4
344643,DAY04,4
345343,DAY04,4
346725,DAY04,4
346833,DAY04,4
346925,DAY04,4
347591,DAY04,4
347592,DAY04,4
347593,DAY04,4
347594,DAY04,4
348220,DAY04,4
348221,DAY04,4
348222,DAY04,4
348307,DAY04,4
348309,DAY04,4
348321,DAY04,4
348327,DAY04,4
348398,DAY04,4
357024,DAY04,4
357580,DAY04,4
358030,DAY04,4
358031,DAY04,4
358095,DAY04,4
358230,DAY04,4
358404,DAY04,4
358808,DAY04,4
358809,DAY04,4
358930,DAY04,4
358960,DAY04,4
358962,DAY04,4
358963,DAY04,4
359041,DAY04,4
359144,DAY04,4
359149,DAY04,4
359150,DAY04,4
359151,DAY04,4
359383,DAY04,4
359563,DAY04,4
359564,DAY04,4
360106,DAY04,4
360355,DAY04,4
360588,DAY04,4
360731,DAY04,4
360732,DAY04,4
360734,DAY04,4
360737,DAY04,4
361006,DAY04,4
361518,DAY04,4
361519,DAY04,4
361793,DAY04,4
361794,DAY04,4
362007,DAY04,4
362008,DAY04,4
362512,DAY04,4
362667,DAY04,4
362711,DAY04,4
363279,DAY04,4
363406,DAY04,4
365304,DAY04,4
365739,DAY04,4
365741,DAY04,4
365744,DAY04,4
366024,DAY04,4
366212,DAY04,4
366395,DAY04,4
366447,DAY04,4
366448,DAY04,4
366450,DAY04,4
366452,DAY04,4
366453,DAY04,4
366454,DAY04,4
366455,DAY04,4
366456,DAY04,4
366458,DAY04,4
366936,DAY04,4
367081,DAY04,4
367084,DAY04,4
367085,DAY04,4
367781,DAY04,4
368256,DAY04,4
368267,DAY04,4
368349,DAY04,4
377849,DAY04,4
379451,DAY04,4
379570,DAY04,4
382292,DAY04,4
382905,DAY04,4
383263,DAY04,4
383475,DAY04,4
383606,DAY04,4
383607,DAY04,4
383608,DAY04,4
383728,DAY04,4
383729,DAY04,4
383730,DAY04,4
383731,DAY04,4
383881,DAY04,4
384438,DAY04,4
385283,DAY04,4
386466,DAY04,4
386525,DAY04,4
386526,DAY04,4
386527,DAY04,4
386729,DAY04,4
386735,DAY04,4
386737,DAY04,4
386747,DAY04,4
386762,DAY04,4
386763,DAY04,4
386764,DAY04,4
386832,DAY04,4
386899,DAY04,4
386923,DAY04,4
388725,DAY04,4
389039,DAY04,4
389205,DAY04,4
389206,DAY04,4
389207,DAY04,4
389255,DAY04,4
389256,DAY04,4
389257,DAY04,4
389419,DAY04,4
389425,DAY04,4
389454,DAY04,4
389598,DAY04,4
389704,DAY04,4
389770,DAY04,4
389772,DAY04,4
389783,DAY04,4
389784,DAY04,4
389988,DAY04,4
392124,DAY04,4
